a|to, towards, at
ab|from, beginning with
abad; —in; —aro|abbot; abbess; abbey
abal; —i|bark, —ing; to bark
abandon; —i; —at|abandon, —ment; to —; —ed
abatema, —o|dejection, lowness of spirits
abati; —o, —azo|to cut down, to fell; felling, cutting down
abax|abacus <i>(arch.)</i>
abces|abscess
abdici; —o|to cancel; cancellation
abdik, —i|to abdicate, —ation
abdomen, —a|abdomen, —minal
abergo; —a, —ifa|aberration; —errant
abila, —eso|able, ability
abilyo; —yi|dress; to – up
abim; —i, —azo|abyss; to waste, —ing
abis, —a|abyss, —al
abit; —i; —er|habitation; to live, to dwell; inhabitant
abitui; —uo|to habituate, to accustom; habit, custom
abjekta; —o; —eso|abject; —ion
abjur; —i|abjuration; to —ure
abla; —o, —eso|able; ability
ablut|ablution
abnego; —i|abnegation; to devote, to sacrifice oneself
abnun|from now on
abol; —i|abolition; to abolish
abomin; —i, —a, —enda|abomination; to —inate; —inable
abon; —i; —at, —un|subscription; to subscribe; —er
abond-korno|cornucopia
abondi, —o|to abound; abundance
abord, —i|approach; to —
abori|to abhor, to execrate
aborigena|aboriginal
abort; —i; —ifa|abortion, to abort; —ive
abrev, —azo; —i|abbreviation; to abridge
abrigo, —i|shelter, to —
abrupta|abrupt
absenso, —enta|absence; —ent
absentismo|absenteeism
absint|absinth
absola, —e|absolute, —ly
absolto; —i|<i>(eccles.)</i> absolution; to absolve
absolvi; —o|to acquit; —ttal
absten; —i|abstention; to abstain
abstraka; —o|abstract; —ion
absurda; —eso|absurd; —ity
abuzo; —i|misuse, abuse; to abuse
abyo|fir tree
acendi; —il|to light; —er
acerba; —eso|sour, bitter; acerbity, bitterness
aceta; —tato|acetic; —etate
aceto; —el|vinegar; — sauce, vinaigrette
aceton|acetone
acida; —eso|acid; —ity
adadmener|deputy-manager, deputy-administrator
adadsekrer|deputy-subsecretary
adapti; —o, —azo|to adapt; —ation
adaqi|to land on water
adderker|deputy-director, deputy-manager
adeditor|assistant editor
adenoid|adenoid
adenom|adenoma
adeo; —i|farewell; to say —
adepto, —in|adept <i>m</i>, <i>f</i>
adeqa; —e|adequate; —ly
ader; —in|assistant <i>m</i>, <i>f</i>
adergi; —o; —a, —un|to adhere; —ence; —ent
adi; —o|to add; —ition
adim; —i; —a, —at|magnet; to —ize; —ized
adis; —i|addition; to add up
adjeneral|lieutenant-general
adkolnel|lieutenant-colonel
adlaga|adjacent
adlinguo|auxiliary language, International Language
admen|administration, management
admeni; —er|to direct, to manage; director; manager
admilitara|paramilitary
administri; —azo|to manage, —ment, to administer, —tration
admiti; —o|to admit, —ission
